text,sentiment
I love this product! It's amazing! 0,Positive
"Great experience, highly recommended 0",Positive
"Wonderful service, very satisfied 0",Positive
"Excellent quality, best purchase ever 0",Positive
"Fantastic, I'm so happy with this 0",Positive
"Terrible product, waste of money 0",Negative
"Very disappointed, not worth it 0",Negative
"Bad experience, would not recommend 0",Negative
"Poor quality, very unhappy 0",Negative
"Worst purchase ever, regret buying 0",Negative
I love this product! It's amazing! 1,Positive
"Great experience, highly recommended 1",Positive
"Wonderful service, very satisfied 1",Positive
"Excellent quality, best purchase ever 1",Positive
"Fantastic, I'm so happy with this 1",Positive
"Terrible product, waste of money 1",Negative
"Very disappointed, not worth it 1",Negative
"Bad experience, would not recommend 1",Negative
"Poor quality, very unhappy 1",Negative
"Worst purchase ever, regret buying 1",Negative
I love this product! It's amazing! 2,Positive
"Great experience, highly recommended 2",Positive
"Wonderful service, very satisfied 2",Positive
"Excellent quality, best purchase ever 2",Positive
"Fantastic, I'm so happy with this 2",Positive
"Terrible product, waste of money 2",Negative
"Very disappointed, not worth it 2",Negative
"Bad experience, would not recommend 2",Negative
"Poor quality, very unhappy 2",Negative
"Worst purchase ever, regret buying 2",Negative
I love this product! It's amazing! 3,Positive
"Great experience, highly recommended 3",Positive
"Wonderful service, very satisfied 3",Positive
"Excellent quality, best purchase ever 3",Positive
"Fantastic, I'm so happy with this 3",Positive
"Terrible product, waste of money 3",Negative
"Very disappointed, not worth it 3",Negative
"Bad experience, would not recommend 3",Negative
"Poor quality, very unhappy 3",Negative
"Worst purchase ever, regret buying 3",Negative
I love this product! It's amazing! 4,Positive
"Great experience, highly recommended 4",Positive
"Wonderful service, very satisfied 4",Positive
"Excellent quality, best purchase ever 4",Positive
"Fantastic, I'm so happy with this 4",Positive
"Terrible product, waste of money 4",Negative
"Very disappointed, not worth it 4",Negative
"Bad experience, would not recommend 4",Negative
"Poor quality, very unhappy 4",Negative
"Worst purchase ever, regret buying 4",Negative
I love this product! It's amazing! 5,Positive
"Great experience, highly recommended 5",Positive
"Wonderful service, very satisfied 5",Positive
"Excellent quality, best purchase ever 5",Positive
"Fantastic, I'm so happy with this 5",Positive
"Terrible product, waste of money 5",Negative
"Very disappointed, not worth it 5",Negative
"Bad experience, would not recommend 5",Negative
"Poor quality, very unhappy 5",Negative
"Worst purchase ever, regret buying 5",Negative
I love this product! It's amazing! 6,Positive
"Great experience, highly recommended 6",Positive
"Wonderful service, very satisfied 6",Positive
"Excellent quality, best purchase ever 6",Positive
"Fantastic, I'm so happy with this 6",Positive
"Terrible product, waste of money 6",Negative
"Very disappointed, not worth it 6",Negative
"Bad experience, would not recommend 6",Negative
"Poor quality, very unhappy 6",Negative
"Worst purchase ever, regret buying 6",Negative
I love this product! It's amazing! 7,Positive
"Great experience, highly recommended 7",Positive
"Wonderful service, very satisfied 7",Positive
"Excellent quality, best purchase ever 7",Positive
"Fantastic, I'm so happy with this 7",Positive
"Terrible product, waste of money 7",Negative
"Very disappointed, not worth it 7",Negative
"Bad experience, would not recommend 7",Negative
"Poor quality, very unhappy 7",Negative
"Worst purchase ever, regret buying 7",Negative
I love this product! It's amazing! 8,Positive
"Great experience, highly recommended 8",Positive
"Wonderful service, very satisfied 8",Positive
"Excellent quality, best purchase ever 8",Positive
"Fantastic, I'm so happy with this 8",Positive
"Terrible product, waste of money 8",Negative
"Very disappointed, not worth it 8",Negative
"Bad experience, would not recommend 8",Negative
"Poor quality, very unhappy 8",Negative
"Worst purchase ever, regret buying 8",Negative
I love this product! It's amazing! 9,Positive
"Great experience, highly recommended 9",Positive
"Wonderful service, very satisfied 9",Positive
"Excellent quality, best purchase ever 9",Positive
"Fantastic, I'm so happy with this 9",Positive
"Terrible product, waste of money 9",Negative
"Very disappointed, not worth it 9",Negative
"Bad experience, would not recommend 9",Negative
"Poor quality, very unhappy 9",Negative
"Worst purchase ever, regret buying 9",Negative
I love this product! It's amazing! 10,Positive
"Great experience, highly recommended 10",Positive
"Wonderful service, very satisfied 10",Positive
"Excellent quality, best purchase ever 10",Positive
"Fantastic, I'm so happy with this 10",Positive
"Terrible product, waste of money 10",Negative
"Very disappointed, not worth it 10",Negative
"Bad experience, would not recommend 10",Negative
"Poor quality, very unhappy 10",Negative
"Worst purchase ever, regret buying 10",Negative
I love this product! It's amazing! 11,Positive
"Great experience, highly recommended 11",Positive
"Wonderful service, very satisfied 11",Positive
"Excellent quality, best purchase ever 11",Positive
"Fantastic, I'm so happy with this 11",Positive
"Terrible product, waste of money 11",Negative
"Very disappointed, not worth it 11",Negative
"Bad experience, would not recommend 11",Negative
"Poor quality, very unhappy 11",Negative
"Worst purchase ever, regret buying 11",Negative
I love this product! It's amazing! 12,Positive
"Great experience, highly recommended 12",Positive
"Wonderful service, very satisfied 12",Positive
"Excellent quality, best purchase ever 12",Positive
"Fantastic, I'm so happy with this 12",Positive
"Terrible product, waste of money 12",Negative
"Very disappointed, not worth it 12",Negative
"Bad experience, would not recommend 12",Negative
"Poor quality, very unhappy 12",Negative
"Worst purchase ever, regret buying 12",Negative
I love this product! It's amazing! 13,Positive
"Great experience, highly recommended 13",Positive
"Wonderful service, very satisfied 13",Positive
"Excellent quality, best purchase ever 13",Positive
"Fantastic, I'm so happy with this 13",Positive
"Terrible product, waste of money 13",Negative
"Very disappointed, not worth it 13",Negative
"Bad experience, would not recommend 13",Negative
"Poor quality, very unhappy 13",Negative
"Worst purchase ever, regret buying 13",Negative
I love this product! It's amazing! 14,Positive
"Great experience, highly recommended 14",Positive
"Wonderful service, very satisfied 14",Positive
"Excellent quality, best purchase ever 14",Positive
"Fantastic, I'm so happy with this 14",Positive
"Terrible product, waste of money 14",Negative
"Very disappointed, not worth it 14",Negative
"Bad experience, would not recommend 14",Negative
"Poor quality, very unhappy 14",Negative
"Worst purchase ever, regret buying 14",Negative
I love this product! It's amazing! 15,Positive
"Great experience, highly recommended 15",Positive
"Wonderful service, very satisfied 15",Positive
"Excellent quality, best purchase ever 15",Positive
"Fantastic, I'm so happy with this 15",Positive
"Terrible product, waste of money 15",Negative
"Very disappointed, not worth it 15",Negative
"Bad experience, would not recommend 15",Negative
"Poor quality, very unhappy 15",Negative
"Worst purchase ever, regret buying 15",Negative
I love this product! It's amazing! 16,Positive
"Great experience, highly recommended 16",Positive
"Wonderful service, very satisfied 16",Positive
"Excellent quality, best purchase ever 16",Positive
"Fantastic, I'm so happy with this 16",Positive
"Terrible product, waste of money 16",Negative
"Very disappointed, not worth it 16",Negative
"Bad experience, would not recommend 16",Negative
